x_m,y_m,z_m,lsf_m,inside_conductor
-2.4e-05,-8.8e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-8.400000000000001e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-8.000000000000001e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-7.6e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-7.2000000000000005e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-6.8e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-6.4e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-6e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-5.6e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-5.2e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-4.800000000000001e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-4.4e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-4.000000000000001e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-3.600000000000001e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-3.2e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-2.8000000000000003e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-2.4000000000000007e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-1.9999999999999995e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-1.6e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-1.2000000000000004e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,-7.999999999999991e-07,7e-05,1.988793354795399e-05,0
-2.4e-05,-3.9999999999999956e-07,7e-05,1.988793354795399e-05,0
-2.4e-05,0.0,7e-05,1.988793354795399e-05,0
-2.4e-05,3.9999999999999956e-07,7e-05,1.988793354795399e-05,0
-2.4e-05,8.000000000000008e-07,7e-05,1.988793354795399e-05,0
-2.4e-05,1.2000000000000004e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,1.6e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,1.9999999999999995e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,2.399999999999999e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,2.8000000000000003e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,3.2e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,3.5999999999999994e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,3.999999999999999e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,4.400000000000002e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,4.799999999999998e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,5.199999999999998e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,5.600000000000001e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,6e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,6.4e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,6.800000000000003e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,7.199999999999999e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,7.599999999999998e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,8.000000000000001e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,8.400000000000001e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,8.8e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,9.200000000000003e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,9.6e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,9.999999999999999e-06,7e-05,1.988793354795399e-05,0
-2.4e-05,1.0400000000000002e-05,7e-05,1.988793354795399e-05,0
-2.4e-05,1.0800000000000002e-05,7e-05,1.988793354795399e-05,0
-2.4e-05,1.1200000000000001e-05,7e-05,1.988793354795399e-05,0
-2.4e-05,1.1599999999999997e-05,7e-05,1.988793354795399e-05,0
-2.4e-05,1.2e-05,7e-05,1.988793354795399e-05,0
-2.3e-05,-1.2e-05,7e-05,1.8966683986542597e-05,0
-2.3e-05,-1.16e-05,7e-05,1.8966683986542597e-05,0
-2.3e-05,-1.12e-05,7e-05,1.8966683986542597e-05,0
-2.3e-05,-1.08e-05,7e-05,1.8966683986542597e-05,0
-2.3e-05,-1.04e-05,7e-05,1.8966683986542597e-05,0
-2.3e-05,-1e-05,7e-05,1.8966683986542597e-05,0
-2.3e-05,-9.6e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-9.2e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-8.8e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-8.400000000000001e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-8.000000000000001e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-7.6e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-7.2000000000000005e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-6.8e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-6.4e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-6e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-5.6e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-5.2e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-4.800000000000001e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-4.4e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-4.000000000000001e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-3.600000000000001e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-3.2e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-2.8000000000000003e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-2.4000000000000007e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-1.9999999999999995e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-1.6e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-1.2000000000000004e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,-7.999999999999991e-07,7e-05,1.8966683986542597e-05,0
-2.3e-05,-3.9999999999999956e-07,7e-05,1.8966683986542597e-05,0
-2.3e-05,0.0,7e-05,1.8966683986542597e-05,0
-2.3e-05,3.9999999999999956e-07,7e-05,1.8966683986542597e-05,0
-2.3e-05,8.000000000000008e-07,7e-05,1.8966683986542597e-05,0
-2.3e-05,1.2000000000000004e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,1.6e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,1.9999999999999995e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,2.399999999999999e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,2.8000000000000003e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,3.2e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,3.5999999999999994e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,3.999999999999999e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,4.400000000000002e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,4.799999999999998e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,5.199999999999998e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,5.600000000000001e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,6e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,6.4e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,6.800000000000003e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,7.199999999999999e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,7.599999999999998e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,8.000000000000001e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,8.400000000000001e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,8.8e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,9.200000000000003e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,9.6e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,9.999999999999999e-06,7e-05,1.8966683986542597e-05,0
-2.3e-05,1.0400000000000002e-05,7e-05,1.8966683986542597e-05,0
-2.3e-05,1.0800000000000002e-05,7e-05,1.8966683986542597e-05,0
-2.3e-05,1.1200000000000001e-05,7e-05,1.8966683986542597e-05,0
-2.3e-05,1.1599999999999997e-05,7e-05,1.8966683986542597e-05,0
-2.3e-05,1.2e-05,7e-05,1.8966683986542597e-05,0
-2.2e-05,-1.2e-05,7e-05,1.804543442513121e-05,0
-2.2e-05,-1.16e-05,7e-05,1.804543442513121e-05,0
-2.2e-05,-1.12e-05,7e-05,1.804543442513121e-05,0
-2.2e-05,-1.08e-05,7e-05,1.804543442513121e-05,0
-2.2e-05,-1.04e-05,7e-05,1.804543442513121e-05,0
-2.2e-05,-1e-05,7e-05,1.804543442513121e-05,0
-2.2e-05,-9.6e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-9.2e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-8.8e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-8.400000000000001e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-8.000000000000001e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-7.6e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-7.2000000000000005e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-6.8e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-6.4e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-6e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-5.6e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-5.2e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-4.800000000000001e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-4.4e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-4.000000000000001e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-3.600000000000001e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-3.2e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-2.8000000000000003e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-2.4000000000000007e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-1.9999999999999995e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-1.6e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-1.2000000000000004e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,-7.999999999999991e-07,7e-05,1.804543442513121e-05,0
-2.2e-05,-3.9999999999999956e-07,7e-05,1.804543442513121e-05,0
-2.2e-05,0.0,7e-05,1.804543442513121e-05,0
-2.2e-05,3.9999999999999956e-07,7e-05,1.804543442513121e-05,0
-2.2e-05,8.000000000000008e-07,7e-05,1.804543442513121e-05,0
-2.2e-05,1.2000000000000004e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,1.6e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,1.9999999999999995e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,2.399999999999999e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,2.8000000000000003e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,3.2e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,3.5999999999999994e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,3.999999999999999e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,4.400000000000002e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,4.799999999999998e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,5.199999999999998e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,5.600000000000001e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,6e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,6.4e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,6.800000000000003e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,7.199999999999999e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,7.599999999999998e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,8.000000000000001e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,8.400000000000001e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,8.8e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,9.200000000000003e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,9.6e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,9.999999999999999e-06,7e-05,1.804543442513121e-05,0
-2.2e-05,1.0400000000000002e-05,7e-05,1.804543442513121e-05,0
-2.2e-05,1.0800000000000002e-05,7e-05,1.804543442513121e-05,0
-2.2e-05,1.1200000000000001e-05,7e-05,1.804543442513121e-05,0
-2.2e-05,1.1599999999999997e-05,7e-05,1.804543442513121e-05,0
-2.2e-05,1.2e-05,7e-05,1.804543442513121e-05,0
-2.1000000000000002e-05,-1.2e-05,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-1.16e-05,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-1.12e-05,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-1.08e-05,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-1.04e-05,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-1e-05,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-9.6e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-9.2e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-8.8e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-8.400000000000001e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-8.000000000000001e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-7.6e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-7.2000000000000005e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-6.8e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-6.4e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-6e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-5.6e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-5.2e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-4.800000000000001e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-4.4e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-4.000000000000001e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-3.600000000000001e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-3.2e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-2.8000000000000003e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-2.4000000000000007e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-1.9999999999999995e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-1.6e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-1.2000000000000004e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-7.999999999999991e-07,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,-3.9999999999999956e-07,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,0.0,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,3.9999999999999956e-07,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,8.000000000000008e-07,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,1.2000000000000004e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,1.6e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,1.9999999999999995e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,2.399999999999999e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,2.8000000000000003e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,3.2e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,3.5999999999999994e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,3.999999999999999e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,4.400000000000002e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,4.799999999999998e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,5.199999999999998e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,5.600000000000001e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,6e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,6.4e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,6.800000000000003e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,7.199999999999999e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,7.599999999999998e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,8.000000000000001e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,8.400000000000001e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,8.8e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,9.200000000000003e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,9.6e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,9.999999999999999e-06,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,1.0400000000000002e-05,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,1.0800000000000002e-05,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,1.1200000000000001e-05,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,1.1599999999999997e-05,7e-05,1.7124184863719832e-05,0
-2.1000000000000002e-05,1.2e-05,7e-05,1.7124184863719832e-05,0
-1.9999999999999998e-05,-1.2e-05,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-1.16e-05,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-1.12e-05,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-1.08e-05,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-1.04e-05,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-1e-05,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-9.6e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-9.2e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-8.8e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-8.400000000000001e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-8.000000000000001e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-7.6e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-7.2000000000000005e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-6.8e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-6.4e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-6e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-5.6e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-5.2e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-4.800000000000001e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-4.4e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-4.000000000000001e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-3.600000000000001e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-3.2e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-2.8000000000000003e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-2.4000000000000007e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-1.9999999999999995e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-1.6e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-1.2000000000000004e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-7.999999999999991e-07,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,-3.9999999999999956e-07,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,0.0,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,3.9999999999999956e-07,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,8.000000000000008e-07,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,1.2000000000000004e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,1.6e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,1.9999999999999995e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,2.399999999999999e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,2.8000000000000003e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,3.2e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,3.5999999999999994e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,3.999999999999999e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,4.400000000000002e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,4.799999999999998e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,5.199999999999998e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,5.600000000000001e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,6e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,6.4e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,6.800000000000003e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,7.199999999999999e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,7.599999999999998e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,8.000000000000001e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,8.400000000000001e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,8.8e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,9.200000000000003e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,9.6e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,9.999999999999999e-06,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,1.0400000000000002e-05,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,1.0800000000000002e-05,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,1.1200000000000001e-05,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,1.1599999999999997e-05,7e-05,1.620293530230844e-05,0
-1.9999999999999998e-05,1.2e-05,7e-05,1.620293530230844e-05,0
-1.9e-05,-1.2e-05,7e-05,1.528168574089706e-05,0
-1.9e-05,-1.16e-05,7e-05,1.528168574089706e-05,0
-1.9e-05,-1.12e-05,7e-05,1.528168574089706e-05,0
-1.9e-05,-1.08e-05,7e-05,1.528168574089706e-05,0
-1.9e-05,-1.04e-05,7e-05,1.528168574089706e-05,0
-1.9e-05,-1e-05,7e-05,1.528168574089706e-05,0
-1.9e-05,-9.6e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-9.2e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-8.8e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-8.400000000000001e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-8.000000000000001e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-7.6e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-7.2000000000000005e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-6.8e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-6.4e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-6e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-5.6e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-5.2e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-4.800000000000001e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-4.4e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-4.000000000000001e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-3.600000000000001e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-3.2e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-2.8000000000000003e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-2.4000000000000007e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-1.9999999999999995e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-1.6e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-1.2000000000000004e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,-7.999999999999991e-07,7e-05,1.528168574089706e-05,0
-1.9e-05,-3.9999999999999956e-07,7e-05,1.528168574089706e-05,0
-1.9e-05,0.0,7e-05,1.528168574089706e-05,0
-1.9e-05,3.9999999999999956e-07,7e-05,1.528168574089706e-05,0
-1.9e-05,8.000000000000008e-07,7e-05,1.528168574089706e-05,0
-1.9e-05,1.2000000000000004e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,1.6e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,1.9999999999999995e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,2.399999999999999e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,2.8000000000000003e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,3.2e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,3.5999999999999994e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,3.999999999999999e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,4.400000000000002e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,4.799999999999998e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,5.199999999999998e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,5.600000000000001e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,6e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,6.4e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,6.800000000000003e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,7.199999999999999e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,7.599999999999998e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,8.000000000000001e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,8.400000000000001e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,8.8e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,9.200000000000003e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,9.6e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,9.999999999999999e-06,7e-05,1.528168574089706e-05,0
-1.9e-05,1.0400000000000002e-05,7e-05,1.528168574089706e-05,0
-1.9e-05,1.0800000000000002e-05,7e-05,1.528168574089706e-05,0
-1.9e-05,1.1200000000000001e-05,7e-05,1.528168574089706e-05,0
-1.9e-05,1.1599999999999997e-05,7e-05,1.528168574089706e-05,0
-1.9e-05,1.2e-05,7e-05,1.528168574089706e-05,0
-1.8e-05,-1.2e-05,7e-05,1.4360436179485666e-05,0
-1.8e-05,-1.16e-05,7e-05,1.4360436179485666e-05,0
-1.8e-05,-1.12e-05,7e-05,1.4360436179485666e-05,0
-1.8e-05,-1.08e-05,7e-05,1.4360436179485666e-05,0
-1.8e-05,-1.04e-05,7e-05,1.4360436179485666e-05,0
-1.8e-05,-1e-05,7e-05,1.4360436179485666e-05,0
-1.8e-05,-9.6e-06,7e-05,1.4360436179485666e-05,0
-1.8e-05,-9.2e-06,7e-05,1.4360436179485666e-05,0
-1.8e-05,-8.8e-06,7e-05,1.4360436179485666e-05,0
-1.8e-05,-8.400000000000001e-06,7e-05,1.4360436179485666e-05,0
